GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.model.vocabulary,UI,27,0,0,0,7,0,2,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.model.vocabulary,OLO,27,0,0,0,7,0,2,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.model.vocabulary,SEMPERS,44,0,0,0,10,0,2,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.model.vocabulary,SP,37,0,0,0,9,0,2,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.model.vocabulary,SPIN,32,0,0,0,8,0,2,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.model.vocabulary,ARG,10,0,0,0,2,0,2,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.model.vocabulary,SEMCORE,15,0,0,0,3,0,2,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.model.vocabulary,SEMTOOL,77,0,0,0,17,0,2,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.model.vocabulary,SPL,32,0,0,0,8,0,2,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.model.vocabulary,SEMONTO,27,0,0,0,7,0,2,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.rdf.engine.edgemodelers,AbstractEdgeModeler,916,0,90,0,186,0,73,0,28,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.rdf.engine.edgemodelers,LegacyEdgeModeler,831,0,92,0,158,0,54,0,7,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.rdf.engine.edgemodelers,W3CEdgeModeler,229,0,12,0,41,0,9,0,3,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.rdf.engine.edgemodelers,SemtoolEdgeModeler,209,0,16,0,44,0,11,0,3,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,ImportMetadata,288,0,24,0,64,0,37,0,25,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,GsonWriter,323,0,24,0,55,0,19,0,7,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,GraphMLWriter,328,0,24,0,56,0,19,0,7,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,DiskBackedLoadingSheetData,346,0,24,0,81,0,32,0,20,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,XlsWriter,1181,0,126,0,216,0,85,0,22,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,DiskBackedLoadingSheetData.CacheIterator,164,0,20,0,43,0,16,0,6,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,LoadingSheetData.DataIteratorImpl,32,0,2,0,10,0,6,0,5,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,ImportData,210,0,20,0,54,0,26,0,16,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,XlsWriter.CellFormatting,42,0,4,0,13,0,6,0,4,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,GraphWriter,4,0,0,0,1,0,1,0,1,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,POIReader,292,0,34,0,64,0,26,0,8,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,LowMemXlsReader.new XlsXmlBase() {...},58,0,2,0,16,0,6,0,5,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,LoadingSheetData,738,0,54,0,186,0,93,0,66,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,ImportValidationException.ErrorType,108,0,0,0,3,0,4,0,4,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,DiskBackedLoadingSheetData.NapDeserializer,126,0,12,0,25,0,8,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,LoadingSheetData.LoadingNodeAndPropertyValues,329,0,32,0,78,0,38,0,22,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,XlsWriter.SheetRowCol,96,0,10,0,21,0,9,0,4,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,SheetType,98,0,0,0,2,0,4,0,4,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,ImportValidationException,75,0,0,0,24,0,10,0,10,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,LowMemXlsReader,912,0,96,0,158,0,60,0,12,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,XlsWriter.NodeAndPropertyValues,28,0,2,0,9,0,6,0,5,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,CSVReader,966,0,86,0,178,0,59,0,16,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.poi.main,DiskBackedLoadingSheetData.NapSerializer,93,0,8,0,25,0,6,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.web.io,DbInfo,46,0,0,0,20,0,10,0,10,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.util,TreeNode,124,0,14,0,33,0,16,0,9,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.util,MultiSetMap,139,0,12,0,25,0,13,0,7,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.util,Utility.ResourceLabelPair,15,0,0,0,5,0,2,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.util,RDFDatatypeTools,974,0,174,0,227,0,103,0,16,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.util,Utility.new VoidQueryAdapter() {...},25,0,0,0,5,0,2,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.util,LegacySanitizer,68,0,2,0,16,0,3,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.util,RetrievingLabelCache,202,0,22,0,57,0,24,0,13,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.util,MultiMap,117,0,10,0,20,0,12,0,7,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.util,UriBuilder,459,0,34,0,112,0,49,0,32,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.util,Constants,37,0,0,0,11,0,2,0,2,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.util,UriBuilder.DefaultSanitizer,48,0,8,0,12,0,7,0,3,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.util,Utility,947,0,106,0,179,0,78,0,24,0
OS-EM Semantic Tool Utilities/common,com.ostrichemulators.semtool.util,DeterministicSanitizer,83,0,8,0,21,0,6,0,2,0
